"Date","Price","Open","High","Low","Vol.","Change %"
"01/05/2026","87.25","88.09","88.78","87.05","27.80K","-1.20%"
"01/02/2026","88.31","87.55","88.88","87.47","15.83K","1.08%"
"12/31/2025","87.37","86.99","87.55","86.83","11.92K","0.10%"
"12/30/2025","87.28","87.25","87.60","86.92","13.76K","-0.21%"
"12/29/2025","87.46","88.07","88.47","87.25","15.97K","-0.62%"
"12/24/2025","88.01","88.54","88.59","87.74","6.77K","-0.60%"
"12/23/2025","88.54","87.48","88.88","87.48","18.15K","1.21%"
"12/22/2025","87.48","87.05","87.95","86.71","17.70K","0.49%"
"12/19/2025","87.05","86.60","87.29","86.08","16.35K","0.66%"
"12/18/2025","86.48","86.89","87.14","85.56","27.49K","-0.37%"
"12/17/2025","86.80","87.37","88.49","86.45","32.86K","-0.64%"
"12/16/2025","87.36","87.37","87.98","86.95","19.85K","0.09%"
"12/15/2025","87.28","83.67","85.51","83.67","6.63K","4.17%"
"12/12/2025","83.79","84.08","84.40","83.40","20.51K","-0.13%"
"12/11/2025","83.90","82.72","84.40","82.72","44.12K","1.80%"
"12/10/2025","82.42","82.62","82.90","81.92","44.60K","-0.52%"
"12/09/2025","82.85","82.10","82.95","81.88","41.00K","1.06%"
"12/08/2025","81.98","81.74","82.58","81.66","33.52K","0.00%"
"12/05/2025","81.98","82.47","82.74","81.61","39.01K","-0.55%"
"12/04/2025","82.43","81.55","82.68","81.28","48.55K","0.78%"
"12/03/2025","81.79","81.88","82.36","81.22","46.31K","-0.04%"
"12/02/2025","81.82","82.50","82.56","81.51","47.75K","-0.99%"
"12/01/2025","82.64","83.00","83.37","82.53","39.25K","-0.74%"
"11/28/2025","83.26","82.26","83.32","82.26","33.71K","1.28%"
"11/27/2025","82.21","81.69","82.52","81.01","55.62K","0.65%"
"11/26/2025","81.68","82.01","82.34","81.30","46.71K","-0.23%"
"11/25/2025","81.87","80.54","82.20","80.49","45.25K","1.56%"
"11/24/2025","80.61","80.30","80.90","79.57","45.78K","0.25%"
"11/21/2025","80.41","80.85","81.00","80.04","32.45K","-1.17%"
"11/20/2025","81.36","80.66","81.89","80.66","28.33K","0.87%"
"11/19/2025","80.66","80.89","81.59","80.20","32.51K","-0.69%"
"11/18/2025","81.22","79.91","81.45","79.52","40.88K","1.63%"
"11/17/2025","79.92","81.45","81.45","79.78","34.46K","-1.25%"
"11/14/2025","80.93","81.28","81.75","80.44","28.11K","-0.50%"
"11/13/2025","81.34","82.16","82.79","80.92","41.70K","-0.70%"
"11/12/2025","81.91","80.79","82.37","80.79","41.00K","1.56%"
"11/11/2025","80.65","80.01","80.90","79.50","36.43K","0.86%"
"11/10/2025","79.96","79.55","80.35","78.91","28.31K","0.62%"
"11/07/2025","79.47","80.35","80.68","79.42","32.54K","-0.87%"
"11/06/2025","80.17","81.24","81.24","80.12","33.90K","-1.62%"
"11/05/2025","81.49","82.00","82.23","80.89","26.68K","-1.00%"
"11/04/2025","82.31","81.20","82.41","81.06","34.67K","1.37%"
"11/03/2025","81.20","78.78","81.75","78.78","47.92K","3.39%"
"10/31/2025","78.54","78.79","79.13","78.01","20.29K","-0.17%"
"10/30/2025","78.67","78.86","79.54","78.54","22.19K","-0.18%"
"10/29/2025","78.81","78.65","79.13","78.18","21.72K","0.63%"
"10/28/2025","78.32","77.94","78.88","77.50","23.63K","0.71%"
"10/27/2025","77.77","78.30","78.30","77.01","23.00K","-0.70%"
"10/24/2025","78.32","78.49","78.89","77.91","17.20K","-0.15%"
"10/23/2025","78.44","78.48","79.19","78.02","25.44K","-0.03%"
"10/22/2025","78.46","79.40","79.64","78.15","24.52K","-1.41%"
"10/21/2025","79.58","79.81","79.99","78.92","22.99K","-0.30%"
"10/20/2025","79.82","79.50","79.96","78.65","25.31K","0.45%"
"10/17/2025","79.46","78.99","79.90","78.12","32.20K","-0.06%"
"10/16/2025","79.51","78.06","79.69","77.61","27.00K","2.09%"
"10/15/2025","77.88","76.73","78.30","76.68","26.10K","1.25%"
"10/14/2025","76.92","77.90","77.90","76.69","32.10K","-1.54%"
"10/13/2025","78.12","79.54","79.74","77.76","32.33K","-1.96%"
"10/10/2025","79.68","79.22","80.37","79.01","31.64K","0.57%"
"10/09/2025","79.23","78.90","79.54","78.04","25.18K","0.28%"
"10/08/2025","79.01","78.14","79.29","77.90","19.36K","0.89%"
"10/07/2025","78.31","78.75","79.13","78.00","27.64K","-0.56%"
"10/06/2025","78.75","79.72","80.11","78.61","31.03K","-0.52%"
"10/03/2025","79.16","77.65","79.55","77.52","33.99K","2.23%"
"10/02/2025","77.43","76.35","77.80","76.11","31.99K","1.44%"
"10/01/2025","76.33","75.61","76.56","74.51","33.97K","0.81%"
"09/30/2025","75.72","76.79","76.80","75.57","24.55K","-1.39%"
"09/29/2025","76.79","75.85","76.97","75.06","27.91K","1.07%"
"09/26/2025","75.98","75.53","76.10","75.10","20.19K","0.29%"
"09/25/2025","75.76","76.03","76.59","75.36","25.39K","-0.34%"
"09/24/2025","76.02","76.64","76.78","75.77","22.11K","-1.00%"
"09/23/2025","76.79","76.21","77.25","75.77","25.55K","0.76%"
"09/22/2025","76.21","77.69","77.69","75.91","27.29K","-1.73%"
"09/19/2025","77.55","77.65","77.75","77.01","18.70K","-0.37%"
"09/18/2025","77.84","76.94","78.23","76.83","26.38K","1.12%"
"09/17/2025","76.98","77.50","78.45","76.69","31.13K","-0.68%"
"09/16/2025","77.51","77.05","78.26","76.49","32.48K","0.99%"
"09/15/2025","76.75","75.60","77.06","75.11","29.11K","1.29%"
"09/12/2025","75.77","75.34","76.03","75.10","21.58K","0.30%"
"09/11/2025","75.54","77.17","77.30","75.30","34.84K","-2.02%"
"09/10/2025","77.10","77.00","77.58","76.25","25.23K","0.26%"
"09/09/2025","76.90","77.00","77.23","76.00","31.66K","-0.35%"
"09/08/2025","77.17","76.05","77.32","75.50","28.61K","1.49%"
"09/05/2025","76.04","75.29","76.25","75.29","27.46K","0.80%"
"09/04/2025","75.44","75.00","75.71","74.58","27.45K","0.65%"
"09/03/2025","74.95","73.46","75.05","73.42","28.90K","1.82%"
"09/02/2025","73.61","74.12","74.44","73.36","28.08K","-0.49%"
"09/01/2025","73.97","72.90","74.55","72.78","32.66K","1.34%"
"08/29/2025","72.99","71.72","73.05","71.60","23.41K","1.77%"
"08/28/2025","71.72","72.34","72.34","71.31","24.62K","-0.72%"
"08/27/2025","72.24","72.72","73.30","71.93","19.03K","-0.70%"
"08/26/2025","72.75","72.04","72.98","71.58","21.04K","0.78%"
"08/25/2025","72.19","72.51","72.60","71.82","15.15K","-0.47%"
"08/22/2025","72.53","72.60","72.80","72.26","14.90K","-0.12%"
"08/21/2025","72.62","71.49","72.76","71.06","26.99K","1.87%"
"08/20/2025","71.29","71.30","71.54","70.65","17.71K","0.18%"
"08/19/2025","71.16","71.65","72.08","71.03","21.75K","-0.92%"
"08/18/2025","71.82","70.89","71.99","70.30","22.94K","1.61%"
"08/15/2025","70.68","71.02","71.31","70.28","16.55K","-0.39%"
"08/14/2025","70.96","71.88","71.88","70.57","27.41K","-1.09%"
"08/13/2025","71.74","71.50","72.15","71.26","14.85K","0.34%"
"08/12/2025","71.50","72.29","72.42","71.37","17.89K","-1.20%"
"08/11/2025","72.37","72.98","73.15","72.00","18.80K","-1.15%"
"08/08/2025","73.21","71.96","73.35","71.80","28.22K","2.01%"
"08/07/2025","71.77","70.73","72.01","70.30","25.41K","1.10%"
"08/06/2025","70.99","71.39","71.71","70.75","17.20K","-0.84%"
"08/05/2025","71.59","70.86","71.74","70.50","21.04K","1.04%"
"08/04/2025","70.85","71.00","71.33","70.15","22.02K","-0.27%"
"08/01/2025","71.04","72.30","72.43","71.00","27.57K","-2.23%"
"07/31/2025","72.66","72.64","73.07","72.22","20.49K","-0.27%"
"07/30/2025","72.86","73.18","73.35","72.52","15.02K","-0.30%"
"07/29/2025","73.08","70.73","73.30","70.40","32.11K","3.44%"
"07/28/2025","70.65","71.50","72.25","70.06","24.47K","-0.97%"
"07/25/2025","71.34","71.11","71.50","70.64","17.46K","0.65%"
"07/24/2025","70.88","69.83","71.18","69.23","30.79K","2.19%"
"07/23/2025","69.36","69.34","69.99","69.00","19.48K","0.36%"
"07/22/2025","69.11","69.91","69.91","68.86","24.53K","-1.03%"
"07/21/2025","69.83","70.12","70.55","69.72","20.62K","-0.09%"
"07/18/2025","69.89","70.55","71.03","69.84","18.03K","-0.94%"
"07/17/2025","70.55","71.16","71.39","70.32","20.01K","-1.07%"
"07/16/2025","71.31","71.28","72.39","70.84","18.06K","-0.28%"
"07/15/2025","71.51","70.30","71.65","69.99","19.39K","1.55%"
"07/14/2025","70.42","70.10","71.39","69.52","23.69K","-0.18%"
"07/11/2025","70.55","70.60","71.00","69.64","21.76K","-0.27%"
"07/10/2025","70.74","70.37","71.55","70.31","18.58K","0.50%"
"07/09/2025","70.39","70.45","71.08","69.89","17.80K","-0.04%"
"07/08/2025","70.42","71.22","71.46","70.28","20.66K","-1.10%"
"07/07/2025","71.20","71.70","71.99","70.62","17.58K","-0.66%"
"07/04/2025","71.67","72.32","72.32","71.25","12.91K","-0.54%"
"07/03/2025","72.06","71.70","72.79","71.06","22.29K","0.18%"
"07/02/2025","71.93","70.59","72.29","70.55","21.00K","1.91%"
"07/01/2025","70.58","69.11","70.89","68.90","25.72K","2.33%"
"06/30/2025","68.97","71.03","71.08","68.71","27.54K","-2.80%"
"06/27/2025","70.96","70.42","71.14","70.11","24.51K","0.80%"
"06/26/2025","70.40","71.08","71.50","70.26","35.18K","-1.05%"
"06/25/2025","71.15","73.24","73.40","70.96","31.98K","-3.25%"
"06/24/2025","73.54","73.00","74.57","72.60","38.63K","0.37%"
"06/23/2025","73.27","72.85","73.50","72.43","26.60K","0.41%"
"06/20/2025","72.97","72.86","73.37","72.08","22.33K","0.32%"
"06/19/2025","72.74","74.60","75.03","71.73","41.80K","-2.51%"
"06/18/2025","74.61","74.85","75.26","74.19","25.81K","-0.04%"
"06/17/2025","74.64","75.15","75.66","74.16","25.55K","-0.93%"
"06/16/2025","75.34","75.76","76.47","74.69","29.70K","-0.79%"
"06/13/2025","75.94","76.00","76.75","75.58","29.69K","0.73%"
"06/12/2025","75.39","74.26","75.80","73.32","36.67K","1.39%"
"06/11/2025","74.36","73.02","74.95","72.78","30.31K","2.34%"
"06/10/2025","72.66","74.23","74.28","72.31","27.51K","-2.12%"
"06/09/2025","74.23","73.88","74.94","73.24","21.68K","0.99%"
"06/06/2025","73.50","72.90","73.95","72.57","15.97K","1.04%"
"06/05/2025","72.74","72.61","74.04","72.32","27.69K","0.18%"
"06/04/2025","72.61","72.48","73.57","72.22","22.76K","0.01%"
"06/03/2025","72.60","71.07","72.86","70.68","27.01K","2.38%"
"06/02/2025","70.91","70.01","72.14","70.01","26.32K","0.71%"
"05/30/2025","70.41","70.76","71.69","70.13","19.73K","-0.75%"
"05/29/2025","70.94","72.86","73.48","70.65","24.70K","-1.57%"
"05/28/2025","72.07","71.20","72.65","70.77","24.16K","0.43%"
"05/27/2025","71.76","72.91","73.09","70.80","24.94K","-1.74%"
"05/26/2025","73.03","72.00","73.37","72.00","13.10K","2.05%"
"05/23/2025","71.56","72.50","73.00","70.00","29.77K","-0.82%"
"05/22/2025","72.15","72.59","73.63","71.75","25.75K","-0.81%"
"05/21/2025","72.74","73.62","73.87","72.30","22.25K","-0.60%"
"05/20/2025","73.18","69.76","73.51","69.73","29.31K","3.92%"
"05/19/2025","70.42","70.99","72.46","69.60","34.55K","-0.80%"
"05/16/2025","70.99","73.45","75.02","70.81","36.99K","-3.30%"
"05/15/2025","73.41","72.10","73.70","71.20","25.38K","1.49%"
"05/14/2025","72.33","73.08","73.63","71.55","21.27K","-0.78%"
"05/13/2025","72.90","73.12","73.82","71.90","29.60K","-0.69%"
"05/12/2025","73.41","70.80","73.63","70.52","33.93K","4.29%"
"05/09/2025","70.39","71.05","71.49","69.82","20.19K","-0.47%"
"05/08/2025","70.72","71.06","71.76","70.40","25.13K","-0.48%"
"05/07/2025","71.06","69.65","71.40","69.05","33.33K","2.58%"
"05/06/2025","69.27","67.55","69.68","67.45","27.18K","2.67%"
"05/05/2025","67.47","68.68","68.73","66.70","20.26K","-1.88%"
"05/02/2025","68.76","67.07","69.27","66.78","27.73K","2.60%"
"05/01/2025","67.02","66.86","67.35","66.24","9.49K","0.71%"
"04/30/2025","66.55","64.90","66.90","64.52","22.93K","2.62%"
"04/29/2025","64.85","64.95","65.40","64.14","24.94K","-0.70%"
"04/28/2025","65.31","66.11","66.37","64.72","23.55K","-1.69%"
"04/25/2025","66.43","66.46","67.63","66.24","24.75K","0.18%"
"04/24/2025","66.31","66.52","66.69","64.75","26.37K","-0.88%"
"04/23/2025","66.90","64.80","67.30","64.80","32.34K","3.90%"
"04/22/2025","64.39","65.10","65.94","63.61","26.24K","-2.28%"
"04/17/2025","65.89","67.18","67.37","65.47","21.38K","-1.61%"
"04/16/2025","66.97","65.70","67.64","65.52","26.89K","1.18%"
"04/15/2025","66.19","66.60","67.95","65.75","27.30K","-0.48%"
"04/14/2025","66.51","65.22","67.33","65.15","27.99K","2.61%"
"04/11/2025","64.82","62.82","65.33","61.78","37.73K","4.35%"
"04/10/2025","62.12","63.50","65.26","61.68","41.99K","1.94%"
"04/09/2025","60.94","60.65","61.67","60.07","48.63K","-1.80%"
"04/08/2025","62.06","63.46","63.57","60.84","44.52K","-1.24%"
"04/07/2025","62.84","62.50","65.24","60.26","66.18K","-1.54%"
"04/04/2025","63.82","66.06","66.26","62.69","64.78K","-3.39%"
"04/03/2025","66.06","67.46","67.48","65.63","50.00K","-3.63%"
"04/02/2025","68.55","70.00","70.35","68.16","26.79K","-1.88%"
"04/01/2025","69.86","67.98","70.72","67.61","35.63K","2.77%"
"03/31/2025","67.98","68.55","69.18","67.08","35.10K","-1.19%"
"03/28/2025","68.80","68.20","69.38","67.95","22.72K","0.38%"
"03/27/2025","68.54","70.55","70.58","68.08","43.81K","-3.23%"
"03/26/2025","70.83","70.27","71.80","69.88","30.76K","0.53%"
"03/25/2025","70.46","71.25","71.60","70.21","28.00K","-1.48%"
"03/24/2025","71.52","71.30","71.94","70.75","23.88K","0.10%"
"03/21/2025","71.45","74.00","74.16","71.23","26.97K","-2.14%"
"03/20/2025","73.01","73.73","74.19","72.80","27.71K","-0.59%"
"03/19/2025","73.44","71.50","74.23","71.50","35.88K","3.00%"
"03/18/2025","71.30","70.17","71.75","69.82","31.66K","1.70%"
"03/17/2025","70.11","70.37","70.99","69.59","20.05K","-1.24%"
"03/14/2025","70.99","70.42","71.75","69.37","25.08K","0.55%"
"03/13/2025","70.60","69.36","71.82","68.54","37.73K","1.41%"
"03/12/2025","69.62","67.69","69.81","67.27","27.44K","2.02%"
"03/11/2025","68.24","68.76","69.71","67.42","30.83K","-1.12%"
"03/10/2025","69.01","68.45","70.28","67.65","37.58K","0.55%"
"03/07/2025","68.63","67.30","69.45","66.78","41.02K","1.95%"
"03/06/2025","67.32","68.26","69.12","66.84","42.51K","-2.14%"
"03/05/2025","68.79","68.21","69.55","68.07","40.17K","0.42%"
"03/04/2025","68.50","71.40","71.66","67.70","53.99K","-4.26%"
"03/03/2025","71.55","71.80","72.87","71.28","26.46K","0.77%"
"02/28/2025","71.00","72.90","73.69","70.76","27.42K","-2.45%"
"02/27/2025","72.78","71.00","73.53","71.00","35.02K","2.48%"
"02/26/2025","71.02","71.78","72.58","70.69","32.84K","-1.02%"
"02/25/2025","71.75","73.76","74.00","71.15","31.67K","-2.59%"
"02/24/2025","73.66","74.62","74.99","72.16","31.86K","-0.32%"
"02/21/2025","73.90","72.60","74.90","72.41","29.69K","1.69%"
"02/20/2025","72.67","73.85","73.97","72.26","42.97K","-1.82%"
"02/19/2025","74.02","75.48","76.26","73.53","32.30K","-2.27%"
"02/18/2025","75.74","76.73","77.40","74.63","46.18K","-1.90%"
"02/17/2025","77.21","79.88","79.88","76.80","26.54K","-3.18%"
"02/14/2025","79.75","77.69","79.93","77.25","32.37K","2.18%"
"02/13/2025","78.05","80.25","80.49","77.79","43.48K","-2.79%"
"02/12/2025","80.29","81.60","82.12","80.05","31.62K","-2.78%"
"02/11/2025","82.59","82.80","84.17","81.62","31.00K","-0.42%"
"02/10/2025","82.94","82.70","84.25","82.70","25.92K","0.80%"
"02/07/2025","82.28","81.64","82.65","81.11","21.36K","0.43%"
"02/06/2025","81.93","81.05","83.00","80.94","31.29K","1.00%"
"02/05/2025","81.12","81.00","82.66","79.77","28.08K","0.30%"
"02/04/2025","80.88","81.10","81.90","79.48","34.15K","-0.10%"
"02/03/2025","80.96","84.01","84.22","80.10","42.84K","-3.54%"
"01/31/2025","83.93","82.90","84.44","82.67","25.67K","1.54%"
"01/30/2025","82.66","83.50","84.50","82.25","30.01K","-0.35%"
"01/29/2025","82.95","80.80","83.80","80.80","33.85K","3.35%"
"01/28/2025","80.26","79.55","80.80","78.30","31.80K","1.13%"
"01/27/2025","79.36","81.07","81.58","79.00","29.41K","-2.83%"
"01/24/2025","81.67","81.11","81.73","79.88","27.48K","1.13%"
"01/23/2025","80.76","79.22","82.00","78.98","39.24K","2.31%"
"01/22/2025","78.94","79.81","79.95","78.48","26.23K","-1.66%"
"01/21/2025","80.27","80.11","80.42","77.90","33.20K","0.35%"
"01/20/2025","79.99","79.00","80.50","78.45","28.31K","0.92%"
"01/17/2025","79.26","78.18","80.50","77.80","33.97K","1.19%"
"01/16/2025","78.33","78.00","78.75","77.25","29.68K","0.45%"
"01/15/2025","77.98","77.25","78.95","77.20","32.86K","1.33%"
"01/14/2025","76.96","76.75","77.25","75.75","23.69K","0.05%"
"01/13/2025","76.92","75.40","77.23","75.40","30.69K","2.77%"
"01/10/2025","74.85","73.39","75.18","72.33","28.43K","1.89%"
"01/09/2025","73.46","71.95","73.71","71.55","26.92K","1.79%"
"01/08/2025","72.17","74.62","74.62","71.91","25.21K","-2.53%"
"01/07/2025","74.04","74.56","74.92","72.91","26.67K","-0.43%"
"01/06/2025","74.36","75.94","76.15","73.80","25.52K","-2.08%"
"01/03/2025","75.94","75.05","76.35","74.86","23.02K","1.00%"
"01/02/2025","75.19","73.55","75.35","72.00","26.45K","3.00%"
"12/31/2024","73.00","72.04","73.62","71.90","14.67K","1.42%"
"12/30/2024","71.98","71.65","72.06","70.40","15.23K","0.59%"
"12/27/2024","71.56","69.75","71.80","69.61","13.79K","3.01%"
"12/24/2024","69.47","69.66","70.05","69.06","6.14K","-0.30%"
"12/23/2024","69.68","68.00","70.15","67.36","16.22K","2.17%"
"12/20/2024","68.20","67.85","68.70","67.40","16.85K","0.75%"
"12/19/2024","67.69","65.00","68.00","64.78","34.21K","4.36%"
"12/18/2024","64.86","64.40","65.75","64.15","25.37K","0.93%"
"12/17/2024","64.26","65.00","65.85","64.05","26.90K","-1.55%"
"12/16/2024","65.27","64.05","64.31","62.73","6.17K","1.30%"
"12/13/2024","64.43","65.81","66.61","64.15","20.48K","-2.53%"
"12/12/2024","66.10","68.53","68.84","65.54","47.62K","-3.69%"
"12/11/2024","68.63","68.30","69.58","67.91","43.39K","0.66%"
"12/10/2024","68.18","66.35","68.72","66.15","42.96K","2.73%"
"12/09/2024","66.37","68.55","68.70","65.93","47.07K","-2.84%"
"12/06/2024","68.31","67.25","68.74","66.92","29.00K","1.44%"
"12/05/2024","67.34","67.81","68.69","66.91","28.10K","-0.77%"
"12/04/2024","67.86","68.01","68.28","67.28","29.53K","-0.92%"
"12/03/2024","68.49","68.90","69.25","67.85","29.00K","-0.49%"
"12/02/2024","68.83","68.55","70.14","68.10","33.72K","0.63%"
"11/29/2024","68.40","67.85","68.54","67.13","22.28K","1.14%"
"11/28/2024","67.63","68.13","68.91","67.53","25.89K","-1.23%"
"11/27/2024","68.47","69.24","69.38","67.70","26.00K","-1.10%"
"11/26/2024","69.23","69.70","69.75","68.25","34.26K","-0.90%"
"11/25/2024","69.86","69.75","71.54","69.24","32.35K","0.85%"
"11/22/2024","69.27","70.49","70.96","69.01","39.97K","-1.03%"
"11/21/2024","69.99","68.46","70.78","68.45","40.08K","2.35%"
"11/20/2024","68.38","68.02","69.40","67.89","27.20K","0.37%"
"11/19/2024","68.13","69.47","69.83","67.84","35.33K","-1.99%"
"11/18/2024","69.51","67.28","70.03","66.96","38.33K","2.21%"
"11/15/2024","68.01","68.25","68.80","66.75","32.70K","-0.38%"
"11/14/2024","68.27","66.72","68.46","66.61","37.66K","2.96%"
"11/13/2024","66.31","67.12","67.24","65.39","34.37K","-1.81%"
"11/12/2024","67.53","67.50","67.77","65.76","33.59K","-0.06%"
"11/11/2024","67.57","67.27","68.80","66.92","32.43K","-0.66%"
"11/08/2024","68.02","66.25","68.28","65.96","36.64K","3.00%"
"11/07/2024","66.04","63.78","66.29","63.65","30.69K","3.58%"
"11/06/2024","63.76","64.00","64.19","62.37","32.21K","-0.84%"
"11/05/2024","64.30","65.46","65.69","64.10","24.33K","-1.41%"
"11/04/2024","65.22","64.09","65.89","64.00","25.33K","2.11%"
"11/01/2024","63.87","63.78","64.96","63.22","24.86K","-1.10%"
"10/31/2024","64.58","65.48","65.95","63.54","27.40K","-1.36%"
"10/30/2024","65.47","66.85","67.19","64.94","25.80K","-2.69%"
"10/29/2024","67.28","66.82","67.75","66.14","33.57K","1.33%"
"10/28/2024","66.40","66.25","66.61","64.61","27.99K","-0.85%"
"10/25/2024","66.97","66.61","67.36","66.08","31.31K","0.51%"
"10/24/2024","66.63","64.95","67.57","64.75","41.94K","2.68%"
"10/23/2024","64.89","62.35","65.36","61.71","30.50K","4.24%"
"10/22/2024","62.25","61.90","62.56","61.29","26.27K","0.79%"
"10/21/2024","61.76","62.45","62.95","61.36","23.68K","-0.83%"
"10/18/2024","62.28","63.00","63.47","62.22","21.06K","-1.11%"
